name,price,discount
Nike 7037,99.9,['0' '35% marcos + cristales']
Nike 7117,99.9,35% marcos + cristales
Nike 7128,99.9,35% marcos + cristales
Nike 7129,99.9,35% marcos + cristales
Nike 7130,99.9,35% marcos + cristales
Nike 7245,99.9,35% marcos + cristales
Nike 7400,99.9,35% marcos + cristales
Nike 8050,99.9,35% marcos + cristales
Oakley 0OX3227,157.9,35% marcos + cristales
Oakley 0OX8056,122.9,35% marcos + cristales
Oakley 0OX8058,113.9,35% marcos + cristales
Oakley 0OX8060,113.9,35% marcos + cristales
Oakley 0OX8081,122.9,35% marcos + cristales
Oakley 0OX8153,166.9,35% marcos + cristales
Oakley 0OX8177,114.9,35% marcos + cristales
Oakley 0OX8178,113.9,0
Persol 0PO2460V,226.9,35% marcos + cristales
Persol 0PO3007VM,198.9,35% marcos + cristales
Persol 0PO3092V,189.9,35% marcos + cristales
Persol 0PO3218V,198.9,35% marcos + cristales
Persol 0PO3296V,198.9,35% marcos + cristales
Persol 0PO3301V,208.9,35% marcos + cristales
Persol 0PO3315V,208.9,35% marcos + cristales
Persol 0PO3318V,198.9,35% marcos + cristales
Persol 0PO3329V,268.9,35% marcos + cristales
Persol 0PO3337V,222.9,35% marcos + cristales
Polaroid Cip On PLD 6132/CS,114.9,0
Polaroid Clip On PLD 6134/CS,114.9,35% marcos + cristales
Polaroid Clip On PLD 6136/CS,104.9,0
Polaroid Clip On PLD 6183/CS,114.9,0
Polaroid Clip On PLD 6184/CS,114.9,0
Polaroid Clip On PLD 6203/CS,109.9,0
Polaroid Clip On PLD 6204/CS,114.9,0
Polaroid Clip On PLD 6205/CS,114.9,35% marcos + cristales
Polaroid D477,85.9,35% marcos + cristales
Polaroid PLD D453,73.9,35% marcos + cristales
Polaroid PLD D458/G,90.9,35% marcos + cristales
Polaroid PLD D460/G,83.9,35% marcos + cristales
Polaroid PLD D462,76.9,35% marcos + cristales
Polaroid PLD D482,76.9,35% marcos + cristales
Polaroid PLD D483,76.9,35% marcos + cristales
Polaroid PLD D485,90.9,35% marcos + cristales
Polaroid PLD482,76.9,35% marcos + cristales
Polaroid PLD488,64.9,35% marcos + cristales
Prada  0PR01WV,230.9,35% marcos + cristales
Prada  0PR14WV,211.9,['0' '35% marcos + cristales']
Prada  0PR15YV,270.9,35% marcos + cristales
Prada  0PR16MV,181.9,35% marcos + cristales
Prada  0PR19ZV,250.9,35% marcos + cristales
Prada  0PR22ZV,290.9,35% marcos + cristales
Prada  0PR54TV,250.9,35% marcos + cristales
Prada  0PR58ZV,270.9,35% marcos + cristales
Prada 0PRA10V,290.9,35% marcos + cristales
Puma PE0028O,94.9,35% marcos + cristales
Ray Ban 0RX3694V,140.9,35% marcos + cristales
Ray Ban 0RX5428,148.9,0
Ray Ban 0RX6375,126.9,35% marcos + cristales
Ray Ban 0RX6466,148.9,35% marcos + cristales
Ray Ban 0RX7017,148.9,35% marcos + cristales
Ray Ban 0RX7047,113.9,35% marcos + cristales
Ray Ban 0RX7210,148.9,35% marcos + cristales
Ray Ban Kids 0RY1536,75.9,35% marcos + cristales
Ray Ban Kids 0RY1549,83.9,35% marcos + cristales
Ray Ban Kids 0RY1598,68.9,35% marcos + cristales
Ray Ban RX7208,166.9,35% marcos + cristales
RayBan 0RX0840V,148.9,35% marcos + cristales
RayBan 0RX3717V,148.9,35% marcos + cristales
RayBan 0RX5285,148.9,35% marcos + cristales
RayBan 0RX5406,126.9,35% marcos + cristales
RayBan 0RX5418,140.9,35% marcos + cristales
RayBan 0RX5598,148.9,35% marcos + cristales
RayBan 0RX6335,140.9,35% marcos + cristales
RayBan 0RX6494,157.9,35% marcos + cristales
RayBan 0RX6497,140.9,35% marcos + cristales
RayBan 0RX7046,117.9,35% marcos + cristales
RayBan 0RX7214,148.9,0
RayBan 0RX7216,148.9,35% marcos + cristales
RayBan 0RX7217,126.9,35% marcos + cristales
RayBan Junior 0RY1621,60.9,35% marcos + cristales
RayBan Junior 0RY1622,60.9,35% marcos + cristales
RayBan Junior 0RY9097V,60.9,35% marcos + cristales
Rayban 0RX0298V,148.9,0
Rayban 0RX7225,126.9,35% marcos + cristales
Rayban 0RX7230,166.9,35% marcos + cristales
Rayban 0RY9078V,60.9,0
Rayban Junior 0RY9078V,60.9,35% marcos + cristales
Seen Kids SNK08,0.0,Marcos Gratis
Seen SNOU5008,0.0,Marcos Gratis
THilfigr TH 1442,148.9,35% marcos + cristales
THilfigr TH 1594 ,149.9,35% marcos + cristales
THilfigr TH 1616/RE,125.9,35% marcos + cristales
THilfigr TH 1636,126.9,35% marcos + cristales
THilfigr TH 1732,122.9,35% marcos + cristales
THilfigr TH 1994,156.9,0
THilfigr TH1942,149.9,35% marcos + cristales
THilfigr TH1991,159.9,35% marcos + cristales
Under Armour UA 5000/G,129.9,35% marcos + cristales
Under Armour UA 5006/G,134.9,35% marcos + cristales
Under Armour UA 5018/G,102.9,35% marcos + cristales
Under Armour UA5019,124.9,35% marcos + cristales
Under Armour UA5035,119.9,35% marcos + cristales
Under Armour UA5043,109.9,35% marcos + cristales
Under Armour UA5052/G,139.9,35% marcos + cristales
UnderArm UA 5053,129.9,35% marcos + cristales
Unoffic Kids UNOK0013,0.0,Marcos Gratis
Unoffic UNOM0052,0.0,Marcos Gratis
Unoffic UNOM0109,0.0,Marcos Gratis
Unoffic UNOM0155,0.0,Marcos Gratis
Unoffic UNOM0164,0.0,Marcos Gratis
Unoffic UNOM0192,0.0,Marcos Gratis
Unoffic UNOM0255,0.0,Marcos Gratis
Unoffic UNOM0300,0.0,Marcos Gratis
Unofficial Juvenil UNOT0045,0.0,Marcos Gratis
Unofficial Kids UNOK5050,0.0,Marcos Gratis
Unofficial Kids UNOK5053,0.0,Marcos Gratis
Unofficial Kids UNOK5066,0.0,Marcos Gratis
